3-gram, count
my lord i, 19
rosencrantz and guildenstern, 18
good my lord, 15
i pray you, 13
in the castle, 12
enter king claudius, 11
i do not, 10
that i have, 10
ay my lord, 9
room in the, 9
king claudius queen, 8
claudius queen gertrude, 8
my good lord, 8
it is a, 8
father s death, 8
if it be, 7
the king s, 7
a room in, 7
a kind of, 7
i ll have, 7
exeunt rosencrantz and, 7
i have seen, 6
e en so, 6
i my lord, 6
well my lord, 6
lord i have, 6
let me see, 6
i know not, 5
but in the, 5
what s the, 5
what is t, 5
my father s, 5
it is not, 5
fare you well, 5
and with a, 5
to the king, 5
do you think, 5
what is the, 5
my lord you, 5
get thee to, 4
horatio and marcellus, 4
and will not, 4
speak to it, 4
like the king, 4
i think it, 4
scene ii a, 4
your father s, 4
exeunt all but, 4
all but hamlet, 4
my lord it, 4
i saw him, 4
and in the, 4
by no means, 4
what i have, 4
do not know, 4
as it is, 4
it is very, 4
let s follow, 4
let me be, 4
scene i a, 4
god be wi, 4
this is the, 4
rosencrantz guildenstern and, 4
i have a, 4
lord i will, 4
enter rosencrantz and, 4
the top of, 4
you are welcome, 4
i ll be, 4
enter hamlet and, 4
in my heart, 4
it my lord, 4
by and by, 4
another room in, 4
will do t, 4
there s a, 4
enter horatio and, 3
speak of this, 3
by heaven i, 3
heaven and earth, 3
if thou hast, 3
speak to me, 3
i have heard, 3
o er the, 3
seen to night, 3
will speak to, 3
out of his, 3
voltimand and cornelius, 3
i came to, 3
i do beseech, 3
do beseech you, 3
how is it, 3
so my lord, 3
you for your, 3
here in the, 3
to my mother, 3
i am glad, 3
to see you, 3
my lord and, 3
i am very, 3
i would not, 3
know you are, 3
my lord the, 3
as i do, 3
my lord he, 3
not his own, 3
he is the, 3
out of the, 3
so please you, 3
the lord hamlet, 3
it be so, 3
and that in, 3
that you have, 3
you must not, 3
from this time, 3
that he is, 3
they are not, 3
that i will, 3
i will speak, 3
what can it, 3
i ll follow, 3
o er his, 3
you shall not, 3
that i am, 3
to my revenge, 3
with all my, 3
it may be, 3
how is t, 3
my lord we, 3
upon my sword, 3
to speak of, 3
i the earth, 3
i a room, 3
will my lord, 3
very well my, 3
if t be, 3
with you in, 3
and let him, 3
how now ophelia, 3
s the matter, 3
what have you, 3
of hamlet s, 3
his father s, 3
i beseech you, 3
it is no, 3
my good friends, 3
to be a, 3
i will be, 3
what do you, 3
what might you, 3
not that i, 3
give me leave, 3
is the matter, 3
you well my, 3
how dost thou, 3
it is but, 3
but to the, 3
and there is, 3
there is a, 3
king and queen, 3
piece of work, 3
is t possible, 3
to tell you, 3
the which he, 3
o what a, 3
king claudius and, 3
i humbly thank, 3
humbly thank you, 3
to a nunnery, 3
find him not, 3
me to the, 3
o my dear, 3
do not think, 3
that is not, 3
i must be, 3
the dead body, 3
my love is, 3
hamlet and horatio, 3
the king sir, 3
nay good my, 3
i will do, 3
do you see, 3
behind the arras, 3
o this is, 3
enter queen gertrude, 3
and in this, 3
it will be, 3
it to the, 3
how now what, 3
he is dead, 3
of all the, 3
wager on your, 3
but it is, 3
is t not, 3
you are not, 3
who s there, 2
i think i, 2
to the dane, 2
give you good, 2
you good night, 2
a piece of, 2
with us to, 2
and let us, 2
what we have, 2
where it comes, 2
it comes again, 2
it not like, 2
not like the, 2
most like it, 2
this time of, 2
time of night, 2
i charge thee, 2
charge thee speak, 2
what think you, 2
think you on, 2
you on t, 2
i might not, 2
is it not, 2
was the very, 2
our last king, 2
against the which, 2
had he been, 2
which is no, 2
is no other, 2
by his father, 2
think it be, 2
no other but, 2
was and is, 2
is the question, 2
the question of, 2
it is to, 2
mind s eye, 2
the sun and, 2
and grace to, 2
or if thou, 2
they say you, 2
if it will, 2
it will not, 2
it is as, 2
was about to, 2
that is the, 2
the trumpet to, 2
trumpet to the, 2
so have i, 2
we have seen, 2
have seen to, 2
upon my life, 2
speak to him, 2
ii a room, 2
dear brother s, 2
brother s death, 2
that you know, 2
and out of, 2
so much for, 2
his nephew s, 2
to old norway, 2
with the king, 2
exeunt voltimand and, 2
s the news, 2
is t laertes, 2
what wouldst thou, 2
is not more, 2
he hath my, 2
hath my lord, 2
is it that, 2
not so my, 2
i the sun, 2
thou know st, 2
it is common, 2
it is i, 2
for they are, 2
but you must, 2
a fault to, 2
this must be, 2
as of a, 2
you are the, 2
and with no, 2
than that which, 2
it is most, 2
i pray thee, 2
go not to, 2
to my heart, 2
my heart in, 2
to the clouds, 2
of this world, 2
within a month, 2
let me not, 2
think on t, 2
marcellus and bernardo, 2
to your lordship, 2
glad to see, 2
what make you, 2
make you from, 2
you from wittenberg, 2
i know you, 2
what is your, 2
ll teach you, 2
teach you to, 2
think it was, 2
indeed my lord, 2
would i had, 2
i had seen, 2
he was a, 2
not look upon, 2
let me hear, 2
form of the, 2
upon the platform, 2
lord i did, 2
my honour d, 2
honour d lord, 2
know of it, 2
watch to night, 2
do my lord, 2
d my lord, 2
my lord from, 2
head to foot, 2
when i saw, 2
his beard was, 2
it was as, 2
