6-gram, count
of this project gutenberg ebook the, 2
this project gutenberg ebook the repairman, 2
start of this project gutenberg ebook, 1
produced by greg weeks susan carr, 1
by greg weeks susan carr and, 1
greg weeks susan carr and the, 1
weeks susan carr and the online, 1
distributed proofreading team at http www, 1
proofreading team at http www pgdp, 1
team at http www pgdp net, 1
being an interstellar trouble shooter wouldn, 1
an interstellar trouble shooter wouldn t, 1
interstellar trouble shooter wouldn t be, 1
trouble shooter wouldn t be so, 1
shooter wouldn t be so bad, 1
wouldn t be so bad if, 1
t be so bad if i, 1
the old man had that look, 1
old man had that look of, 1
man had that look of intense, 1
had that look of intense glee, 1
that look of intense glee on, 1
look of intense glee on his, 1
of intense glee on his face, 1
intense glee on his face that, 1
glee on his face that meant, 1
on his face that meant someone, 1
was in for a very rough, 1
in for a very rough time, 1
for a very rough time since, 1
a very rough time since we, 1
very rough time since we were, 1
rough time since we were alone, 1
time since we were alone it, 1
since we were alone it took, 1
we were alone it took no, 1
were alone it took no great, 1
alone it took no great feat, 1
of intelligence to figure it would, 1
intelligence to figure it would be, 1
to figure it would be me, 1
figure it would be me i, 1
it would be me i talked, 1
would be me i talked first, 1
be me i talked first bold, 1
me i talked first bold attack, 1
being the best defense and so, 1
the best defense and so forth, 1
i quit don t bother telling, 1
quit don t bother telling me, 1
don t bother telling me what, 1
t bother telling me what dirty, 1
bother telling me what dirty job, 1
telling me what dirty job you, 1
me what dirty job you have, 1
what dirty job you have cooked, 1
dirty job you have cooked up, 1
because i have already quit and, 1
i have already quit and you, 1
have already quit and you do, 1
already quit and you do not, 1
quit and you do not want, 1
and you do not want to, 1
you do not want to reveal, 1
do not want to reveal company, 1
the grin was even wider now, 1
grin was even wider now and, 1
was even wider now and he, 1
even wider now and he actually, 1
wider now and he actually chortled, 1
now and he actually chortled as, 1
and he actually chortled as he, 1
he actually chortled as he thumbed, 1
actually chortled as he thumbed a, 1
button on his console a thick, 1
on his console a thick legal, 1
his console a thick legal document, 1
console a thick legal document slid, 1
a thick legal document slid out, 1
thick legal document slid out of, 1
legal document slid out of the, 1
document slid out of the delivery, 1
this is your contract he said, 1
is your contract he said it, 1
your contract he said it tells, 1
contract he said it tells how, 1
he said it tells how and, 1
said it tells how and when, 1
it tells how and when you, 1
tells how and when you will, 1
how and when you will work, 1
a steel and vanadium bound contract, 1
steel and vanadium bound contract that, 1
and vanadium bound contract that you, 1
vanadium bound contract that you couldn, 1
bound contract that you couldn t, 1
contract that you couldn t crack, 1
that you couldn t crack with, 1
you couldn t crack with a, 1
i leaned out quickly grabbed it, 1
leaned out quickly grabbed it and, 1
out quickly grabbed it and threw, 1
quickly grabbed it and threw it, 1
grabbed it and threw it into, 1
it and threw it into the, 1
and threw it into the air, 1
threw it into the air with, 1
it into the air with a, 1
into the air with a single, 1
motion before it could fall i, 1
before it could fall i had, 1
it could fall i had my, 1
could fall i had my solar, 1
fall i had my solar out, 1
i had my solar out and, 1
had my solar out and with, 1
my solar out and with a, 1
solar out and with a wide, 1
out and with a wide angle, 1
shot burned the contract to ashes, 1
the old man pressed the button, 1
old man pressed the button again, 1
man pressed the button again and, 1
pressed the button again and another, 1
the button again and another contract, 1
button again and another contract slid, 1
again and another contract slid out, 1
and another contract slid out on, 1
his desk if possible the smile, 1
desk if possible the smile was, 1
if possible the smile was still, 1
possible the smile was still wider, 1
the smile was still wider now, 1
i should have said a duplicate, 1
should have said a duplicate of, 1
have said a duplicate of your, 1
said a duplicate of your contract, 1
a duplicate of your contract like, 1
duplicate of your contract like this, 1
of your contract like this one, 1
your contract like this one here, 1
he made a quick note on, 1
made a quick note on his, 1
a quick note on his secretary, 1
quick note on his secretary plate, 1
note on his secretary plate i, 1
on his secretary plate i have, 1
his secretary plate i have deducted, 1
secretary plate i have deducted credits, 1
from your salary for the cost, 1
your salary for the cost of, 1
salary for the cost of the, 1
for the cost of the duplicate, 1
the cost of the duplicate as, 1
cost of the duplicate as well, 1
of the duplicate as well as, 1
the duplicate as well as a, 1
duplicate as well as a credit, 1
fine for firing a solar inside, 1
for firing a solar inside a, 1
firing a solar inside a building, 1
i slumped defeated waiting for the, 1
slumped defeated waiting for the blow, 1
defeated waiting for the blow to, 1
waiting for the blow to land, 1
for the blow to land the, 1
the blow to land the old, 1
blow to land the old man, 1
to land the old man fondled, 1
according to this document you can, 1
